,Title,Type,Organization,Amount,Date
0,Get the Ball Rolling Clinics,Partnership,Philadelphia Phillies,4500,2014
0,Get the Ball Rolling Clinics,Partnership,Philadelphia Phillies,4500,2015
0,Get the Ball Rolling Clinics,Partnership,Washington Capitals,12000,2010
0,Get the Ball Rolling Clinics,Partnership,Washington Nationals,15000,2010
0,Get the Ball Rolling Clinics,Partnership,Washington Nationals,13000,2011
0,Get the Ball Rolling Clinics,Partnership,Washington Nationals,13000,2012
0,Get the Ball Rolling Clinics,Partnership,Washington Nationals,13000,2013
0,Get the Ball Rolling Clinics,Partnership,Washington Nationals,18000,2014
0,Get the Ball Rolling Clinics,Partnership,Washington Nationals,18000,2015
0,Get the Ball Rolling Clinics,Partnership,Washington Redskins,6000,2010
0,Get the Ball Rolling Clinics,Partnership,Washington Redskins,4500,2011
0,Get the Ball Rolling Clinics,Partnership,Washington Redskins,4500,2012
0,Get the Ball Rolling Clinics,Partnership,Washington Redskins,14000,2013
0,Get the Ball Rolling Clinics,Partnership,Washington Redskins,14000,2014
0,Get the Ball Rolling Clinics,Partnership,Washington Redskins,14000,2015
0,Get the Ball Rolling Clinics,Partnership,Washington Wizards,6000,2010
0,Get the Ball Rolling Clinics,Partnership,Washington Wizards,2500,2011
0,Get the Ball Rolling Street Hockey & Summer Camps,Partnership,New York Rangers,53000,2010
0,Get the Ball Rolling Street Hockey & Summer Camps,Partnership,New York Rangers,53000,2011
0,Get the Ball Rolling Street Hockey & Summer Camps,Partnership,New York Rangers,53000,2012
0,Get the Ball Rolling Street Hockey & Summer Camps,Partnership,New York Rangers,53000,2013
0,Get the Ball Rolling Street Hockey & Summer Camps,Partnership,New York Rangers,63000,2014
0,Get the Ball Rolling Street Hockey & Summer Camps,Partnership,New York Rangers,53000,2015
0,Gift for the Healthy Active Lifestyles and Energetics Endowed Research Fund,Partnership,University of Alabama Birmingham Educational Foundation,795000,2011
0,Gift for the Healthy Active Lifestyles and Energetics Endowed Research Fund*,Partnership,University of Alabama Birmingham Educational Foundation,300000,2012
0,Girls Inc. Body By Me*,Partnership,Girls Inc. of Central Alabama,13000,2011
0,Girls on the Run 5K,Partnership,Girls on the Run New Orleans,20000,2012
0,Girls on the Run Las Vegas 2014-2015 Programming*,Partnership,Girls on the Run Las Vegas,50000,2014
0,Glennon SportsCare,Partnership,SSM Cardinal Glennon Children's Hospital,50000,2015
0,Global Disaster Response Fund,Partnership,National Foundation for the Center for Disease Control,75000,2010
0,Global Disaster Response Fund,Partnership,National Foundation for the Center for Disease Control,75000,2010
0,Global Health Equity Research Fellowship program,Partnership,Harvard Medical School/Partners in Health,100000,2014
0,Global Health Equity Research Fellowship program,Partnership,Harvard Medical School/Partners in Health,100000,2015
0,GlucoFit Club*,Partnership,San Gabriel Valley YMCA,25000,2012
0,Go Red For Women,Partnership,American Heart Association,25000,2014
0,Go Red for Women Luncheon,Partnership,American Heart Association,10000,2010
0,Goals for a Better Life in Bogota -- Community Empowerment*,Partnership,"Colombianitos, Inc",100000,2013
0,Goals for a Better Life in Bogota and Cali*,Partnership,"Colombianitos, Inc",250000,2010
0,Goals for a Better Life in Cartagena*,Partnership,"Colombianitos, Inc",100000,2012
0,Goals for a Better Life in Manizales*,Partnership,"Colombianitos, Inc",250000,2011
0,Golf Clinic,Partnership,Minnesota Women's Golf Association,3000,2011
0,Golf Clinic,Partnership,Minnesota Women's Golf Association,1000,2012
0,Golf Fore Red Golf Tournament,Partnership,Hope Heart Institute,3500,2012
0,Golf Fore Red Golf Tournament,Partnership,Hope Heart Institute,8500,2013
0,Golf Fore Red Golf Tournament,Partnership,Hope Heart Institute,8500,2014
0,Golf Fore Red Golf Tournament,Partnership,Hope Heart Institute,2500,2015
0,Golf Outing and Wine/Cheese Event,Partnership,Boys & Girls Clubs of Philadelphia,7000,2015
0,Golf clinic for young golfers,Partnership,Minnesota Women's Golf Association,4000,2012
0,Good Sports 2012 -- Youth Sports & Fitness Program*,Partnership,Good Sports,200000,2012
0,Governor's Gold Awards,Partnership,Special Olympics Oregon,1900,2013
0,Governor's Gold Awards,Partnership,Special Olympics Oregon,1900,2014
0,Grand Opening,Partnership,West Contra Costa Family Justice Center,25000,2014
0,Grandfamilies Health Watchers*,Partnership,Pinebelt Association for Families,37000,2011
0,Grant for content production and distribution,Partnership,Sharewik Media Group,50000,2013
0,Grant for content production and distribution,Partnership,Sharewik Media Group,155000,2014
0,Grant for educational conferences,Partnership,Oldways Preservation & Exchange,60000,2012
0,Green and Healthy NYC*,Partnership,New York Restoration Project,25000,2013
0,Green and Healthy NYC*,Partnership,New York Restoration Project,125000,2014
0,Green and Healthy New York City,Partnership,New York Restoration Project,25000,2012
0,Growing Up Fit*,Partnership,YMCA Buffalo Niagara,10000,2010
0,HEALIN - Active Healthy Living Program*,Partnership,Universidad Popular,25000,2012
0,HEALIN - Health Literacy Initiative Program*,Partnership,Universidad Popular,25000,2013
0,"Happy Heart, Healthy Eating at Sacramento Children's Museum",Partnership,Sacramento Children's Museum,15000,2015
0,Harlem Healthy Soul Festival,Partnership,Apollo,60000,2013
0,Harlem Healthy Soul Festival,Partnership,Apollo,30000,2014
0,Harlem Healthy Soul Festival,Partnership,Apollo,10000,2015
0,Harvard Medical School Nutrition Division Symposium,Partnership,PMK Associates,5000,2011
0,Health & Wellness Summit,Partnership,"Impacto Latin News, Inc.",2000,2010
0,Health Education and Life Time Habits (HEALTH)*,Partnership,New Era Transitions Inc.,50000,2010
0,Health Is People-Healing Our Planet (HIP-HOP)*,Partnership,"Piney Woods School, The",50000,2012
0,Health Ministry Empowerment Tour*,Partnership,AmeriHealth Mercy Foundation,25000,2013
0,Health and Wellness Program*,Partnership,"Marcus Jewish Community Center of Atlanta, Inc.",50000,2010
0,Health and Wellness Program*,Partnership,"One Hundred Black Men, Inc. of New York",25000,2012
0,Health and recreational programming*,Partnership,Camp Twin Lakes Inc.,100000,2010
0,Health/Exercise Lifestyle Plan (HELP),Partnership,NIA Community Services Network,25000,2014
0,Health/Exercise Lifestyle Plan (HELP)*,Partnership,NIA Community Services Network,25000,2010
0,Health/Exercise Lifestyle Plan (HELP)*,Partnership,NIA Community Services Network,25000,2011
0,Health/Exercise Lifestyle Plan (HELP)*,Partnership,NIA Community Services Network,25000,2013
0,Healthcare Equity for LGBT Americans: A Nationwide Initiative*,Partnership,Human Rights Campaign Foundation,100000,2013
0,Healthy - Nutrition for Families*,Partnership,Community Association of Progressive Dominicans,25000,2012
0,Healthy Chicas at Miami Children's Hospital*,Partnership,Miami Children's Hospital Foundation,25000,2013
0,Healthy Children/Prevent Childhood Obesity Initiative*,Partnership,"Center For Puppetry Arts, Inc.",50000,2010
0,Healthy Choices Program*,Partnership,Boys & Girls Club of West San Gabriel Valley,25000,2012
0,Healthy Colorado,Partnership,Colorado State University,62160,2013
0,Healthy Harvest--Building Stronger Communities Through Access to Fresh Produce and Nutrition Education*,Partnership,"Atlanta Community Food Bank, Inc.",250000,2014
0,Healthy Harvest--Building Stronger Communities Through Access to Fresh Produce and Nutrition Education*,Partnership,"Atlanta Community Food Bank, Inc.",250000,2015
0,Healthy Harvesters Program*,Partnership,San Gabriel Valley Conservation and Service Corps,50000,2012
0,Healthy Kids Day,Partnership,Seattle Parks and Recreation,10000,2013
0,Healthy Kids Program*,Partnership,Gameday Healthy Kids Foundation,25000,2013
0,Healthy Living for Families: Train to Sustain,Partnership,University of Rochester - Center for Community Health,24350,2010
0,Healthy Living: Fitness and Nutrition*,Partnership,Girl Scouts of the USA,500000,2010
0,Healthy Living: Fitness and Nutrition*,Partnership,Girl Scouts of the USA,300000,2011
0,Healthy Living: Fitness and Nutrition*,Partnership,Girl Scouts of the USA,200000,2012
0,"Healthy Minds, Healthy Bodies Initiative*",Partnership,"Reach Out and Read, Inc.",100000,2014
0,"Healthy, Active Communities through Parks*",Partnership,Portland Parks Foundation,25000,2013
0,"Healthy, Stronger, and Living Longer *",Partnership,Ryan Cameron Foundation,25000,2014
0,Heart Health Fair,Partnership,ELMCOR Youth & Activity Center,10000,2012
0,Heart Health Fair,Partnership,ELMCOR Youth & Activity Center,10000,2013
0,Heart Health Fair,Partnership,ELMCOR Youth & Activity Center,10000,2014
0,Heart Health Fair,Partnership,ELMCOR Youth & Activity Center,10000,2015
0,Heart Healthy toolbox,Partnership,Preventative Cardiovascular Nurses Association,271000,2013
0,Heart Truth,Partnership,Foundation for the National Institutes for Health,50000,2014
0,Heart Truth Red Dress Fashion Show,Partnership,American College of Cardiology,500000,2012
0,Heart Truth Red Dress Fashion Show,Partnership,Foundation for the National Institutes for Health,50000,2010
0,Heart Truth Red Dress Fashion Show,Partnership,Foundation for the National Institutes for Health,50000,2011
0,Heart Truth Red Dress Fashion Show,Partnership,Foundation for the National Institutes for Health,440000,2011
0,Heart Truth Red Dress Fashion Show,Partnership,Foundation for the National Institutes for Health,500000,2011
0,Heart Truth Red Dress Fashion Show,Partnership,Foundation for the National Institutes for Health,158000,2013
0,Heart Truth Red Dress Fashion Show,Partnership,Ogilvy Public Relations,440000,2010
0,Heart Truth/Capture the Flag,Partnership,Foundation for the National Institutes for Health,100000,2011
0,Heart Truth/My Coke Rewards,Partnership,Foundation for the National Institutes for Health,8384,2010
0,Heart Truth/My Coke Rewards,Partnership,Foundation for the National Institutes for Health,8062,2011
0,Heart Truth/My Coke Rewards,Partnership,Foundation for the National Institutes for Health,188000,2012
0,Heart Truth; Eat Tastefully programs,Partnership,American Dietetic Association,330000,2010
0,Heart Truth; Healthy Eating for Kids; Choose You; Kids Eat Right billboards; conference,Partnership,American Dietetic Association,350000,2011
0,Heart Truth; Kids Eat Right billboards; conference support,Partnership,American Dietetic Association,350000,2012
0,Hearts Delight Sponsorship,Partnership,American Heart Association,5000,2013
0,Hearts and Heroes,Partnership,San Francisco General Hospital,15000,2013
0,Hearts and Heroes,Partnership,San Francisco General Hospital,10000,2014
0,Helping the Nation Eat Right and Move More educational grant*,Partnership,Academy of Nutrition & Dietetics,100000,2012
0,Heroes Saints & Legends,Partnership,"Foundation of Wesley Woods, Inc.",20000,2010
0,"Heroes, Saints & Legends",Partnership,"Foundation of Wesley Woods, Inc.",20000,2011
0,"Heroes, Saints & Legends",Partnership,"Foundation of Wesley Woods, Inc.",50000,2012
0,"Heroes, Saints & Legends",Partnership,"Foundation of Wesley Woods, Inc.",25000,2013
0,"Heroes, Saints & Legends",Partnership,"Foundation of Wesley Woods, Inc.",45000,2014
0,Hike for Health,Partnership,Community Partners,2000,2015
0,Hike for Health,Partnership,Community Partners,1000,2014
0,Hip-Hop 4 Better Health*,Partnership,"Hip-Hop Summit Youth Council, Inc.",25000,2012
0,Hip2B Healthy*,Partnership,Seeds in the Middle,20000,2012
0,Hometown Holiday Contribution from the Office of the Chairman,Partnership,Children's Healthcare of Atlanta Foundation,10000,2014
0,Hope and Will Ball,Partnership,Children's Healthcare of Atlanta,10000,2012
0,Hope and Will Ball,Partnership,Children's Healthcare of Atlanta,30000,2014
0,Houston B-Cycle*,Partnership,Houston Bike Share,25000,2013
0,Houston Marathon Kids*,Partnership,Marathon Kids,30000,2011
0,Hunger Walk/Run,Partnership,"Atlanta Community Food Bank, Inc.",10000,2012
0,Hunger Walk/Run,Partnership,"Atlanta Community Food Bank, Inc.",20000,2013
0,Hunger Walk/Run,Partnership,"Atlanta Community Food Bank, Inc.",20000,2014
0,Hunger Walk/Run*,Partnership,"Atlanta Community Food Bank, Inc.",10000,2013
0,IPOP Play!: Health and Wellness Promotion to Reduce Childhood Obesity in Detroit*,Partnership,Institute for Population Health,100000,2014
0,Improving Adolescent Health Through Faith Communities*,Partnership,Georgia Campaign for Adolescent Power & Potential,50000,2013
0,In The Moment - A Celebration of Life,Partnership,"Visiting Nurse Health System, Inc.",5000,2013
0,Inaugural Black Girls RUN!/Drive to End Hunger 5K & 10K and National Conference,Partnership,Black Girls RUN,25000,2012
0,Innovation/Convention,Partnership,Washington State PTA,15000,2014
0,JDRF Georgia Chapter Hope for a Cure Gala,Partnership,Juvenile Diabetes Research Foundation,5000,2013
0,JDRF Georgia Chapter Hope for a Cure Gala,Partnership,Juvenile Diabetes Research Foundation,5000,2014
0,"Junior Fit Club ""Enriching Mind and Body""*",Partnership,YMCA of West San Gabriel Valley,25000,2012
0,Just Run Youth Activity Program*,Partnership,Big Sur International Marathon,50000,2012
0,Keep Fit Program,Partnership,Texas Children's Health Plan,13000,2011
0,Keeping Our Youth Active through Cycling*,Partnership,Woodhull Medical and Mental Health Center,20000,2012
0,Keeping Our Youth Active through Cycling*,Partnership,Woodhull Medical and Mental Health Center,25000,2014
0,Kids Eat Right Shop-Cook-Eat Summit,Partnership,American Dietetic Association,75000,2012
0,Kids Get Active in Piedmont Park *,Partnership,"Piedmont Park Conservancy, Inc.",30000,2010
0,Kids Get Active in Piedmont Park *,Partnership,"Piedmont Park Conservancy, Inc.",30000,2011
0,Kids Get Active*,Partnership,"Piedmont Park Conservancy, Inc.",30000,2012
0,LIFTED Parent Leadership Academy,Partnership,NAACP New York,50000,2012
0,Latinos for Health,Partnership,Hispanic Health Coalition of Georgia,2500,2010
0,Latinos for Health,Partnership,Hispanic Health Coalition of Georgia,500,2011
0,Leading Strong & Healthy Lives,Partnership,Third Street Community Center,10000,2010
0,Leading Strong & Healthy Lives,Partnership,Third Street Community Center,25000,2012
0,Let's Move St. Louis,Partnership,SPP Production,25000,2013
0,Let's Move in Magnolia Park II*,Partnership,CAN DO Houston,25000,2014
0,Let's Move in Magnolia Park*,Partnership,CAN DO Houston,25000,2012
0,Let's Move! MegaFest,Partnership,Metroplex Economic Development Corporation,100000,2013
0,Live Empowered*,Partnership,American Diabetes Association,100000,2012
0,Lose a Million Pounds,Partnership,City of San Jose,1500,2014
0,Low and no-calorie sweetener education program,Partnership,Encore,58350,2015
0,MJCCA Health and Wellness Program*,Partnership,"Marcus Jewish Community Center of Atlanta, Inc.",50000,2011
0,MJCCA Health and Wellness Programming for People of All Abilities*,Partnership,"Marcus Jewish Community Center of Atlanta, Inc.",50000,2012
0,MJCCA Health and Wellness Programming for People of All Abilities*,Partnership,"Marcus Jewish Community Center of Atlanta, Inc.",50000,2014
0,Maccabi Games,Partnership,Jewish Community Centers of North America,200000,2010
0,Maccabi Games,Partnership,Jewish Community Centers of North America,200000,2011
0,Maccabi Games,Partnership,Jewish Community Centers of North America,200000,2012
0,Maccabi Games,Partnership,Jewish Community Centers of North America,200000,2013
0,Maccabi Games,Partnership,Jewish Community Centers of North America,200000,2014
0,Maccabi Games,Partnership,Jewish Community Centers of North America,200000,2015
0,Making a Difference through Community Gardens*,Partnership,Education Foundation for Clinton City and Anderson County Schools Inc,25000,2013
0,Masters Series for Distinguished Leaders (MSDL),Partnership,Skinner Leadership Institute,15000,2010
0,Masters Series for Distinguished Leaders (MSDL),Partnership,Skinner Leadership Institute,10000,2011
0,Mayor's Healthy Hometown Movement*,Partnership,Louisville Metro Parks Foundation,25000,2013
0,Membership,Partnership,Healthy Weight Commitment Foundation,875000,2010
0,Membership,Partnership,Healthy Weight Commitment Foundation,875000,2011
0,Membership,Partnership,Healthy Weight Commitment Foundation,1000000,2012
0,Membership Dues,Partnership,Center for Food Integrity,100000,2014
0,Membership Dues,Partnership,Center for Food Integrity,100000,2013
0,Membership Dues; Foundation Donations,Partnership,International Food Information Council (IFIC),125000,2015
0,Membership Fee,Partnership,International Scientific Association of Probiotics and Prebiotics (ISAPP),8000,2012
0,Membership Kickoff Reception for Friends of Winship,Partnership,Friends of Winship,1500,2010
0,Membership and mission support,Partnership,Healthy Weight Commitment Foundation,2311560,2014
0,Membership and mission support,Partnership,Healthy Weight Commitment Foundation,19498,2015
0,Membership dues,Partnership,Calorie Control Council,141000,2010
0,Membership dues,Partnership,Calorie Control Council,140000,2012
0,Membership dues,Partnership,Calorie Control Council,186000,2013
0,Membership dues,Partnership,Industry Nutrition Advisory Panel of the American Heart Association (INAP/AHA),10000,2011
0,Membership dues,Partnership,Industry Nutrition Advisory Panel of the American Heart Association (INAP/AHA),10000,2012
0,Membership dues,Partnership,Industry Nutrition Advisory Panel of the American Heart Association (INAP/AHA),10000,2014
0,Membership dues,Partnership,Industry Nutrition Advisory Panel of the American Heart Association (INAP/AHA),10000,2015
0,Membership dues,Partnership,International Stevia Council (ISC),15000,2015
0,Membership dues,Partnership,Juice Products Association,4250,2010
0,Membership dues,Partnership,Juice Products Association,5000,2011
0,Membership dues,Partnership,Juice Products Association,5000,2012
0,Membership dues,Partnership,Juice Products Association,5000,2013
0,Membership dues,Partnership,Juice Products Association,65000,2014
0,Membership dues,Partnership,Juice Products Association,125000,2015
0,Membership dues,Partnership,Wold Sugar Assocation Research Organization,16000,2013
0,Membership dues and program support,Partnership,Calorie Control Council,463000,2011
0,Membership dues and program support,Partnership,Calorie Control Council,400000,2014
0,Membership dues and program support,Partnership,Calorie Control Council,372000,2015
0,Membership dues for the Food Science Strategic Policy Alliance,Partnership,University of Massachusetts,30000,2010
0,Membership dues for the Food Science Strategic Policy Alliance,Partnership,University of Massachusetts,15000,2011
0,Membership dues for the Food Science Strategic Policy Alliance,Partnership,University of Massachusetts,15000,2012
0,Membership dues for the Food Science Strategic Policy Alliance,Partnership,University of Massachusetts,15000,2013
0,Membership dues for the Food Science Strategic Policy Alliance,Partnership,University of Massachusetts,15000,2014
0,Membership dues for the Food Science Strategic Policy Alliance,Partnership,University of Massachusetts,15000,2015
0,Membership dues; Foundation donations,Partnership,International Food Information Council (IFIC),264700,2010
0,Membership dues; Foundation donations,Partnership,International Food Information Council (IFIC),307565,2011
0,Membership dues; Foundation donations,Partnership,International Food Information Council (IFIC),288700,2012
0,Membership dues; Foundation donations,Partnership,International Food Information Council (IFIC),238700,2013
0,Membership dues; Foundation donations,Partnership,International Food Information Council (IFIC),245000,2014
0,Meth Prevention Lesson,Partnership,"Georgia Meth Project, Inc.",20000,2013
0,Miami Children's Initiative: Health and Wellness Programs*,Partnership,"Miami Children's Initiative, Inc.",50000,2014
0,Million Calorie Reduction Match Program*,Partnership,Healthy Memphis Common Table,25000,2014
0,Mind + Body*,Partnership,Girls Incorporated of Greater Atlanta,25000,2010
0,Mind + Body*,Partnership,Girls Incorporated of Greater Atlanta,25000,2011
0,"Mind + Body, E3*",Partnership,Girls Incorporated of Greater Atlanta,50000,2013
0,Mind Body Builders,Partnership,"The LA PALESTRA KIDS Foundation, Inc.",25000,2014
0,"Mind, Exercise, Nutrition, Do It! (MEND)*",Partnership,Illinois African American Coalition for Prevention,100000,2012
0,Mobile Recreation Program*,Partnership,San Francisco Parks Alliance,100000,2012
0,Mobile Recreation Program*,Partnership,San Francisco Parks Alliance,100000,2013
0,Mobilizing Health and Fitness Resources to Neighborhoods*,Partnership,San Antonio Food Bank,100000,2013
0,Mobilizing Health and Fitness Resources to Neighborhoods*,Partnership,San Antonio Food Bank,100000,2014
0,Mobilizing Health and Fitness Resources to Neighborhoods*,Partnership,San Antonio Food Bank,100000,2015
0,Mobilizing Health and Fitness Resources to Neighborhoods*,Partnership,San Antonio Sports Foundation,400000,2013
0,Mobilizing Health and Fitness Resources to Neighborhoods*,Partnership,San Antonio Sports Foundation,400000,2014
0,Mobilizing Health and Fitness Resources to Neighborhoods*,Partnership,San Antonio Sports Foundation,400000,2015
0,Momentum in One Park*,Partnership,Momentum Everywhere,25000,2014
0,Movin' and Groovin' Family*,Partnership,California Aquatic Therapy & Wellness Center,20000,2010
0,Movin' and Groovin' Pavillion,Partnership,Cincinnati Center For Closing The Health Gap,25000,2012
0,Movin' and Groovin' Pavillion,Partnership,Cincinnati Center For Closing The Health Gap,15000,2013
0,Movin' and Groovin' Pavillion,Partnership,Cincinnati Center For Closing The Health Gap,15000,2014
0,Movin' and Groovin' Pavillion,Partnership,Cincinnati Center For Closing The Health Gap,10000,2015
0,Mt. Auburn Program,Partnership,The Center for Closing the Health Gap in Greater Cincinnati,50000,2012
0,Muevete (Move) USA*,Partnership,National Association of Hispanic Nurses,150000,2010
0,Muevete (Move) USA*,Partnership,National Association of Hispanic Nurses,150000,2011
0,N Street Village 2011 Gala,Partnership,N Street Village Inc,10000,2011
0,NCSL Annual Legislative Summit Bipartisan Bike Ride,Partnership,National Council of State Legislatures,5000,2013
0,NCSL Annual Legislative Summit Walk for Wellness,Partnership,National Council of State Legislatures,2500,2013
0,"NDA-HEALTH NOW (Health Equity, Access, Literacy, Technology & Hope) Program",Partnership,National Dental Association,100000,2014
0,"NDE-HEALTH NOW (Health Equity, Access, Literacy, Technology & Hope) Program*",Partnership,National Dental Association,100000,2014
0,NM Centennial Gardens*,Partnership,New Mexico Centennial Foundation,25000,2011
0,National Council on Youth Sports Safety Conference,Partnership,Satcher Health Leadership Institute,75000,2013
0,National Dental Association Centennial Anniversary Convention,Partnership,National Dental Association,10000,2013
0,National Foundation for Governors' Council on Physical Fitness,Partnership,Don't Quit Foundation,1000000,2011
0,National Foundation for Governors' Council on Physical Fitness,Partnership,Don't Quit Foundation,1000000,2013
0,National Foundation for Governors' Council on Physical Fitness,Partnership,Don't Quit Foundation,1000000,2014
0,National Foundation for Governors' Council on Physical Fitness,Partnership,Don't Quit Foundation,1000000,2015
0,National Get Outdoors Day,Partnership,Colorado Parks and Recreation,500,2013
0,National PAL Healthy and Active Living Youth Program,Partnership,National Police Athletic/Activities League,120000,2014
0,National Park Foundation Active Trails*,Partnership,National Park Foundation,250000,2013
0,NativeVision*,Partnership,Johns Hopkins Center for American Indian Health,75000,2014
0,New Orleans Troops for Fitness Program*,Partnership,National Recreation and Park Association,50000,2015
0,Newark YMCA Summer Basketball Clinic,Partnership,The YMWCA of Newark and Vicinity,25000,2013
0,"Nutrition Education, Youth Development, and Physical Fitness*",Partnership,Gameday Healthy Kids Foundation,50000,2011
0,Obesity Prevention*,Partnership,Auburn University Foundation,100000,2010
0,Obesity Week Scientific Dinner & Research Panel,Partnership,Prader-Willi Syndrome Association,2500,2014
0,Obesity and Wellness Project,Partnership,Tuskegee University,62500,2013
0,Obliteride,Partnership,Fred Hutchinson Cancer Research Center,700,2013
0,Obliteride,Partnership,Fred Hutchinson Cancer Research Center,700,2014
0,Odyssey's 40th Anniversary Celebration,Partnership,"Odyssey Family Counseling Center, Inc",2000,2014
0,One to Grow On: The Campaign for Children's,Partnership,Children's Healthcare of Atlanta Foundation,50000,2010
0,Operation Enduring Care,Partnership,"United Service Organizations, Inc",250000,2012
0,Operation Enduring Care,Partnership,"United Service Organizations, Inc",750000,2013
0,Operation Enduring Care,Partnership,"United Service Organizations, Inc",250000,2014
0,Operational Support,Partnership,Boys & Girls Club Of Dane County,1000,2010
0,Operational Support,Partnership,Boys & Girls Club Of West Cook County,1000,2011
0,Operational Support,Partnership,Mathew Dickey's Boys & Girls Club,5000,2010
0,Operational Support,Partnership,Mathew Dickey's Boys & Girls Club,5000,2014
0,Operational Support,Partnership,Mathew Dickey's Boys & Girls Club,5000,2015
0,Operational Support,Partnership,Milwaukee Health Services Inc,1000,2010
0,Operational Support,Partnership,Mission Hospital Foundation,500,2012
0,Operational Support,Partnership,Northeast Valley Health Corporation,1500,2011
0,Operational Support,Partnership,Roseland Community Hospital,350,2012
0,Operational Support,Partnership,Roseland Pulllman Boys And Girls,500,2012
0,Operational support,Partnership,American Botanical Council,5000,2012
0,Outdoor Education,Partnership,Camp Korey,5000,2013
0,Outdoor Education Program for Children with Serious Illnesses*,Partnership,Camp Korey,50000,2012
0,Outdoor Education and Nutrition Program*,Partnership,Camp Korey,50000,2014
0,Outdoor Healthy Active Lifestyles,Partnership,Northlake Nature Center,20000,2011
0,Oxygen Ball Sponsorship,Partnership,American Lung Association,2500,2015
0,Oxygen Ball Sponsorship,Partnership,American Lung Association,2500,2014
0,Paddle Board Program and Camper Scholarships*,Partnership,Camp Twin Lakes Inc.,30000,2013
0,Pan American Forum for Action on Chronic Disease*,Partnership,Pan American Health and Education Foundation,50000,2011
0,Park Families Wellness Initiative*,Partnership,Garfield Park Conservatory Alliance,280000,2012
0,Park Families Wellness Initiative*,Partnership,Garfield Park Conservatory Alliance,945000,2013
0,Park Families Wellness Initiative*,Partnership,Garfield Park Conservatory Alliance,945000,2014
0,Park Families Wellness Initiative*,Partnership,Garfield Park Conservatory Alliance,830000,2015
0,Park Refresh Parkway,Partnership,Gateway Green,25000,2014
0,Parklandians Unite: Community Engagement in Parks*,Partnership,Portland Parks Foundation,25000,2014
0,Pedal the Plains,Partnership,Denver Post Community Foundation,10000,2015
0,Physical Activity Programs Tribal Reservations*,Partnership,Inter Tribal Sports,40000,2011
0,Physical Education Program for K-12*,Partnership,Grand Street Settlement,15000,2012
0,Physical Learning Activities for Youth (PLAY) in Urban L.A.*,Partnership,YMCA of Metropolitan Los Angeles,125000,2014
0,Physical activity publications conference,Partnership,Pennington Biomedical Research Foundation,10000,2015
0,Pilot for Exercise Is Medicine program for university hospital,Partnership,Fukouka University,8000,2014
0,PlayWorks for Wilson Elementary Students!*,Partnership,San Leandro Education Foundation,50000,2012
0,"Police Athletic League ""PAL"" Fit*",Partnership,Police Athletic League,50000,2012
0,"Police Athletic League ""PAL"" Fit*",Partnership,Police Athletic League,100000,2013
0,Prevention Campaign; Walk the Talk,Partnership,Preventive Cardiovasular Nurses Association,50125,2012
0,Program Expansion of Walk 'n Rollers Active Youth Engagement Program*,Partnership,Los Angeles County Bicycle Coalition,25000,2014
0,Project H.E.L.P.,Partnership,National Association for the Advancement of Colored People,100000,2014
0,Project H.E.L.P.*,Partnership,National Association for the Advancement of Colored People,100000,2012
0,Project H.E.L.P.*,Partnership,National Association for the Advancement of Colored People,100000,2013
0,Project HELP*,Partnership,National Association for the Advancement of Colored People,100000,2010
0,Project HELP:  Healty Eating Lifestyles and Physical Activity*,Partnership,National Association for the Advancement of Colored People,100000,2011
0,Project Last Mile,Partnership,The Global Environment & Technology Foundation,650000,2014
0,Project Measure Up,Partnership,The Bexar County Community Health Collaborative,25000,2013
0,Project Measure Up (PMU),Partnership,The Bexar County Community Health Collaborative,25000,2012
0,Project Thrive Colombia Completion for 2013*,Partnership,"Friends of the World Food Program, Inc.",72746,2013
0,Project Thrive Colombia*,Partnership,"Friends of the World Food Program, Inc.",364858,2013
0,"Project Wellness Healthy Bodies, Healthy Minds, Healthy Relationships*",Partnership,National Urban League,100000,2012
0,Promoting Active Lifestyles and Food Knowledge in Indian Country*,Partnership,Inter Tribal Sports,50000,2013
0,Promoting Healthy Kids,Partnership,Southern Methodist University,25000,2010
0,Protecting Athletes and Sports Safety *,Partnership,"National Council on Youth Sports Safety, Inc.",100000,2014
0,Purchase recreational equipment,Partnership,Boys & Girls Club Of The Twin Cities,2100,2013
0,Purchase recreational equipment,Partnership,Boys & Girls Club Of The Twin Cities,2000,2014
0,"Purdues 9th International Symposium on Nutritional Aspects of Osteoporosis  held in Montreal, Canada, June 17-20, 2015,",Partnership,Purdue University Department of Nutrition  & Health,39000,2014
0,REACH Out Hawaii,Partnership,REACH Out Hawaii,5000,2014
0,Rancho Wheelchair Sports Program*,Partnership,Rancho Los Amigos Foundation Inc.,50000,2011
0,"Ready, Set, Gold!*",Partnership,"Southern California Committee for the Olympic Games (SCCOG): Ready, Set, Gold!",45000,2014
0,Recreational Therapy and Nutrition Education for Girls in Georgia*,Partnership,Youth Villages,25000,2013
0,Recreational equipment,Partnership,Boys & Girls Club Of Cedar Rapids,2842,2012
0,Recreational equipment,Partnership,Boys & Girls Club Of Cedar Rapids,2500,2013
0,Refreshing Community Spaces,Partnership,"City of Little Rock, AR",150000,2015
0,Refreshing Community Spaces Program,Partnership,National Recreation and Park Association,1774820,2014
0,Refreshing Community Spaces Program,Partnership,National Recreation and Park Association,1255000,2015
0,Relay for Life,Partnership,American Cancer Society,1000,2015
